iter	Passed	Remaining
1580	107387	28459
1581	107472	28396
1582	107544	28329
1583	107610	28261
1584	107669	28190
1585	107733	28121
1586	107800	28053
1587	107861	27984
1588	107929	27916
1589	108012	27852
1590	108079	27783
1591	108143	27715
1592	108207	27646
1593	108271	27577
1594	108334	27508
1595	108402	27440
1596	108474	27373
1597	108540	27304
1598	108603	27235
1599	108667	27166
1600	108732	27098
1601	108806	27031
1602	108875	26964
1603	108939	26895
1604	109014	26829
1605	109078	26760
1606	109147	26692
1607	109220	26625
1608	109284	26557
1609	109351	26488
1610	109412	26419
1611	109477	26350
1612	109546	26282
1613	109608	26213
1614	109677	26145
1615	109743	26077
1616	109811	26009
1617	109878	25941
1618	109942	25872
1619	110025	25808
1620	110092	25740
1621	110154	25671
1622	110215	25601
1623	110281	25533
1624	110347	25464
1625	110413	25396
1626	110477	25327
1627	110547	25260
1628	110616	25192
1629	110679	25123
1630	110745	25055
1631	110810	24986
1632	110875	24918
1633	110945	24850
1634	111009	24781
1635	111077	24714
1636	111142	24645
1637	111203	24576
1638	111281	24510
1639	111349	24442
1640	111415	24374
1641	111475	24304
1642	111539	24235
1643	111607	24168
1644	111665	24098
1645	111728	24029
1646	111793	23960
1647	111857	23891
1648	111932	23825
1649	111998	23757
1650	112071	23690
1651	112151	23625
1652	112223	23558
1653	112284	23488
1654	112347	23419
1655	112432	23355
1656	112503	23288
1657	112565	23219
